                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.41936,                0.68497,                0.39046,                0.88716,                 0.6534,                   0.72,                0.67355,                0.47707,                0.61628,                   0.68,                0.63592,                 0.4447,                 1.1252,                 3.2088,                 1.4346,                  1.325,              0.0004655,              0.0004655,              0.0004655
                     65,                0.45933,                0.73626,                0.42835,                0.90823,                0.73678,                0.67206,                0.70569,                0.51455,                0.69334,                0.63331,                 0.6773,                 0.4792,                 1.0628,                 3.2157,                 1.1792,                 1.3269,             0.00044075,             0.00044075,             0.00044075
                     66,                0.43369,                0.72666,                0.38816,                0.89259,                0.62554,                   0.76,                0.69663,                0.53118,                0.59237,                   0.72,                0.65875,                0.48856,                0.96787,                 3.2562,                 1.0207,                 1.2206,               0.000416,               0.000416,               0.000416
                     67,                0.42616,                0.71167,                0.39021,                0.88946,                0.64942,                   0.68,                0.67023,                0.50303,                0.61122,                   0.64,                0.62713,                0.46347,                 1.0413,                  3.479,                 1.1089,                  1.307,             0.00039125,             0.00039125,             0.00039125
                     68,                0.42443,                0.71938,                0.38931,                0.90189,                0.64895,                0.66586,                0.68107,                0.48439,                0.61071,                0.62785,                0.63381,                0.45024,                 1.1216,                 3.5479,                 1.3254,                 1.3595,              0.0003665,              0.0003665,              0.0003665
                     69,                0.42896,                0.68714,                0.38162,                0.90098,                0.59775,                0.65419,                0.69221,                0.52224,                0.57083,                0.63849,                0.61728,                0.46436,                 1.0239,                 3.5349,                 1.2618,                 1.2718,             0.00034175,             0.00034175,             0.00034175
                     70,                 0.4181,                0.64287,                0.37171,                0.87597,                0.60855,                   0.72,                0.67713,                0.51821,                0.57181,                   0.68,                0.60884,                0.45536,                 1.0123,                 3.6182,                 1.2124,                 1.2325,               0.000317,               0.000317,               0.000317
                     71,                0.37044,                0.60252,                0.35818,                 0.8622,                0.56138,                0.56327,                 0.6102,                0.44151,                  0.523,                 0.5265,                0.53909,                0.38833,                 1.0814,                 3.7974,                 1.5293,                 1.3041,             0.00029225,             0.00029225,             0.00029225
                     72,                0.36656,                0.60915,                 0.3352,                0.85602,                0.67347,                   0.48,                0.58954,                 0.4242,                0.61613,                   0.44,                0.52793,                0.37514,                 1.0549,                 3.7194,                 1.4822,                 1.3062,              0.0002675,              0.0002675,              0.0002675
                     73,                0.33973,                0.54318,                 0.3186,                0.84161,                0.92268,                    0.6,                0.73404,                0.54129,                0.85964,                   0.56,                0.66752,                0.49878,                0.93934,                 3.5881,                 1.1346,                 1.2136,             0.00024275,             0.00024275,             0.00024275
                     74,                 0.3348,                0.55801,                0.31344,                0.84459,                0.92895,                   0.64,                0.73627,                 0.5646,                0.87089,                    0.6,                0.68778,                0.51932,                0.92057,                 3.4287,                 1.0299,                 1.1896,               0.000218,               0.000218,               0.000218
                     75,                0.33409,                0.55138,                0.30944,                0.84432,                0.86964,                   0.64,                0.73517,                0.53692,                0.81486,                    0.6,                0.65627,                0.49568,                0.96838,                 3.3336,                 1.0589,                 1.2277,             0.00019325,             0.00019325,             0.00019325
                     76,                0.32994,                0.54829,                0.29715,                0.80793,                 0.8778,                   0.64,                0.71176,                0.53619,                0.82174,                    0.6,                0.65191,                0.49347,                 1.0222,                 3.4788,                  1.122,                 1.2813,              0.0001685,              0.0001685,              0.0001685
                     77,                0.32072,                0.52656,                0.29951,                 0.8488,                0.84198,                0.63942,                0.70844,                0.55319,                 0.7857,                    0.6,                0.65661,                0.51745,                0.99441,                 3.4479,                 1.1964,                 1.2615,             0.00014375,             0.00014375,             0.00014375
                     78,                0.32081,                0.52002,                0.28365,                0.83567,                0.86824,                    0.6,                 0.7003,                0.54415,                0.80961,                   0.56,                0.64712,                 0.5069,                0.99191,                 3.3464,                 1.2428,                 1.2524,               0.000119,               0.000119,               0.000119
                     79,                 0.3034,                0.52615,                0.27316,                 0.8326,                0.86937,                    0.6,                 0.6919,                0.53358,                0.81097,                   0.56,                0.64277,                0.49564,                0.99312,                 3.3902,                 1.2441,                 1.2521,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.29728,                0.50402,                0.27188,                0.81851,                0.72703,                   0.64,                0.69554,                0.54108,                0.68016,                    0.6,                0.64392,                0.48273,                 1.0104,                 3.4352,                 1.2154,                 1.2699,               6.95e-05,               6.95e-05,               6.95e-05
