                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0856,                0.76915,                 1.3072,                0.69219,                0.58491,                  0.629,                0.36835,                 1.5676,                 1.3572,                 1.7614,              0.0014555,              0.0014555,              0.0014555
                     47,                 1.0898,                0.80791,                 1.3215,                0.67911,                0.58491,                0.62893,                0.37186,                 1.5195,                 1.3574,                 1.7055,              0.0014431,              0.0014431,              0.0014431
                     48,                 1.0847,                0.77908,                 1.3137,                0.72575,                0.61166,                0.69686,                0.40962,                 1.4961,                 1.2202,                 1.6657,              0.0014307,              0.0014307,              0.0014307
                     49,                 1.1149,                0.78798,                 1.3327,                0.72187,                0.62972,                0.70043,                0.40493,                 1.5245,                 1.2968,                 1.7216,              0.0014184,              0.0014184,              0.0014184
                     50,                 1.0647,                0.75387,                 1.3092,                0.68419,                0.61321,                0.66046,                0.38776,                 1.5049,                 1.3924,                 1.6581,               0.001406,               0.001406,               0.001406
                     51,                 1.0531,                0.75374,                 1.2821,                0.75942,                0.60613,                0.69989,                0.41775,                 1.4583,                 1.2019,                 1.6782,              0.0013936,              0.0013936,              0.0013936
                     52,                 1.0475,                0.75181,                 1.2937,                0.74977,                0.57075,                0.65272,                0.39244,                 1.4373,                 1.3137,                 1.6429,              0.0013813,              0.0013813,              0.0013813
                     53,                 1.0405,                0.77587,                 1.2907,                0.71075,                0.55189,                0.63353,                0.38792,                 1.4398,                 1.3802,                 1.6416,              0.0013689,              0.0013689,              0.0013689
                     54,                 1.0253,                0.74605,                 1.2781,                0.74694,                0.61557,                0.70697,                0.42728,                 1.3875,                  1.198,                 1.5923,              0.0013565,              0.0013565,              0.0013565
                     55,                 1.0067,                0.72399,                 1.2615,                 0.8234,                0.55189,                0.67498,                0.40774,                 1.4391,                 1.3725,                 1.6058,              0.0013441,              0.0013441,              0.0013441
                     56,                 1.0246,                0.72587,                 1.2802,                0.69955,                0.58491,                0.66193,                0.39132,                 1.4674,                 1.3154,                 1.6384,              0.0013318,              0.0013318,              0.0013318
                     57,                0.98873,                 0.7052,                 1.2519,                0.74994,                0.62736,                0.71667,                0.44177,                 1.4121,                 1.2595,                 1.6564,              0.0013194,              0.0013194,              0.0013194
                     58,                0.97629,                 0.6885,                 1.2465,                0.73594,                0.61557,                0.68673,                0.41105,                 1.4199,                 1.2215,                  1.629,               0.001307,               0.001307,               0.001307
                     59,                0.98259,                0.69872,                 1.2429,                0.72878,                0.57037,                0.66222,                 0.3956,                  1.418,                 1.3451,                 1.6106,              0.0012946,              0.0012946,              0.0012946
                     60,                0.98351,                 0.7076,                 1.2481,                0.73414,                0.61792,                0.67339,                0.40258,                 1.4416,                 1.1812,                 1.6472,              0.0012822,              0.0012822,              0.0012822
                     61,                0.96008,                0.66765,                 1.2295,                0.74458,                0.61876,                0.69964,                0.40994,                  1.521,                 1.2821,                 1.7303,              0.0012699,              0.0012699,              0.0012699
                     62,                 0.9434,                0.65734,                 1.2153,                0.79161,                0.63611,                0.72819,                0.43489,                 1.3692,                 1.1539,                 1.6049,              0.0012575,              0.0012575,              0.0012575
                     63,                0.96062,                0.67422,                 1.2382,                0.77864,                0.55896,                0.64207,                0.38825,                 1.4417,                 1.3749,                 1.6668,              0.0012451,              0.0012451,              0.0012451
                     64,                0.94857,                0.64747,                 1.2218,                0.76121,                0.56604,                0.65218,                0.39561,                 1.4025,                 1.3302,                  1.645,              0.0012328,              0.0012328,              0.0012328
                     65,                0.93742,                0.64763,                 1.2202,                0.72698,                0.60377,                0.66003,                0.39171,                 1.4705,                 1.3537,                 1.6743,              0.0012204,              0.0012204,              0.0012204
                     66,                0.91983,                0.64774,                 1.2022,                0.81438,                0.61052,                0.72415,                0.43485,                 1.3713,                 1.1726,                 1.6024,               0.001208,               0.001208,               0.001208
                     67,                0.93274,                0.63667,                   1.21,                0.75417,                 0.5499,                0.65456,                0.38765,                 1.4542,                 1.3003,                 1.6412,              0.0011956,              0.0011956,              0.0011956
                     68,                0.91004,                 0.6323,                 1.1998,                0.79691,                0.62004,                0.71436,                0.42874,                 1.4119,                  1.238,                 1.6002,              0.0011833,              0.0011833,              0.0011833
                     69,                0.91618,                0.62039,                 1.1971,                 0.7674,                0.57075,                0.69542,                0.43302,                 1.3965,                  1.327,                 1.5892,              0.0011709,              0.0011709,              0.0011709
                     70,                0.89936,                0.62316,                 1.1884,                0.67905,                0.61375,                0.66271,                0.39765,                 1.4723,                 1.3086,                  1.714,              0.0011585,              0.0011585,              0.0011585
                     71,                0.89401,                0.61446,                 1.1863,                 0.7262,                0.63679,                0.70437,                0.41326,                 1.4263,                 1.2276,                 1.6233,              0.0011461,              0.0011461,              0.0011461
                     72,                0.89915,                0.62935,                 1.1942,                0.69358,                0.58189,                0.64363,                0.39074,                 1.4603,                 1.3067,                 1.6792,              0.0011337,              0.0011337,              0.0011337
                     73,                0.88734,                0.60351,                 1.1869,                0.72158,                0.61737,                0.67297,                0.40834,                 1.4378,                 1.2561,                 1.6533,              0.0011214,              0.0011214,              0.0011214
                     74,                0.89132,                0.60575,                 1.1896,                0.69059,                0.54745,                0.62791,                0.38054,                 1.4164,                 1.4183,                 1.6162,               0.001109,               0.001109,               0.001109
                     75,                0.87992,                0.59898,                 1.1748,                0.78023,                0.58019,                0.67271,                0.41506,                  1.395,                 1.2973,                 1.6383,              0.0010966,              0.0010966,              0.0010966
                     76,                0.88127,                0.59944,                 1.1868,                0.80649,                0.57994,                0.67775,                0.40475,                 1.4808,                 1.3088,                 1.6663,              0.0010842,              0.0010842,              0.0010842
                     77,                0.86111,                0.59016,                 1.1728,                0.73781,                0.58726,                0.67332,                0.40111,                  1.412,                 1.2346,                 1.6255,              0.0010719,              0.0010719,              0.0010719
                     78,                0.85654,                0.58942,                 1.1535,                0.75503,                0.59198,                0.66783,                0.39801,                 1.4733,                 1.2204,                 1.7159,              0.0010595,              0.0010595,              0.0010595
                     79,                0.82998,                0.56207,                 1.1453,                0.72085,                0.55422,                0.63838,                0.39188,                 1.3858,                 1.4143,                 1.6243,              0.0010471,              0.0010471,              0.0010471
                     80,                0.85384,                0.58328,                 1.1677,                0.76238,                0.57075,                0.66964,                0.41319,                 1.4433,                 1.4601,                 1.6629,              0.0010347,              0.0010347,              0.0010347
                     81,                0.84402,                0.57565,                 1.1587,                0.70723,                0.57783,                0.64616,                0.39079,                 1.3793,                 1.3021,                 1.6119,              0.0010224,              0.0010224,              0.0010224
                     82,                0.82233,                0.56125,                 1.1434,                0.78189,                0.61557,                0.69066,                0.42412,                 1.4332,                 1.3697,                 1.6885,                0.00101,                0.00101,                0.00101
                     83,                0.83286,                0.55623,                  1.142,                0.69675,                0.58491,                0.65359,                0.39784,                 1.4363,                  1.399,                 1.6849,             0.00099763,             0.00099763,             0.00099763
                     84,                0.83468,                0.56807,                 1.1627,                0.79026,                0.55983,                0.65888,                 0.3944,                 1.4716,                  1.455,                 1.6781,             0.00098525,             0.00098525,             0.00098525
                     85,                0.82389,                0.55957,                 1.1488,                0.77066,                0.60849,                0.69175,                0.43702,                 1.3584,                 1.3917,                 1.5976,             0.00097287,             0.00097287,             0.00097287
                     86,                0.80596,                0.56193,                 1.1386,                0.76086,                0.60613,                0.68593,                0.42529,                   1.38,                 1.3526,                 1.6443,              0.0009605,              0.0009605,              0.0009605
                     87,                0.79832,                0.55519,                 1.1275,                0.72461,                0.57547,                0.66468,                0.40204,                 1.4097,                 1.3965,                 1.6079,             0.00094812,             0.00094812,             0.00094812
                     88,                0.81372,                0.55039,                 1.1436,                0.81085,                0.53066,                0.64956,                 0.4138,                 1.4092,                  1.332,                 1.6364,             0.00093575,             0.00093575,             0.00093575
                     89,                0.80105,                 0.5506,                 1.1347,                0.73973,                0.61792,                0.70191,                0.42491,                 1.4187,                  1.205,                 1.6776,             0.00092338,             0.00092338,             0.00092338
                     90,                0.78357,                 0.5276,                 1.1213,                0.73889,                0.60377,                0.67454,                0.40752,                 1.3942,                 1.2171,                 1.6512,               0.000911,               0.000911,               0.000911
                     91,                0.77455,                0.52624,                 1.1168,                0.79811,                 0.5684,                0.67494,                0.41856,                 1.3407,                 1.2663,                 1.5838,             0.00089863,             0.00089863,             0.00089863
                     92,                0.77309,                 0.5332,                 1.1108,                0.70025,                0.64387,                0.69266,                0.43474,                  1.365,                 1.2711,                 1.6202,             0.00088625,             0.00088625,             0.00088625
                     93,                0.76187,                0.52816,                 1.1156,                0.73289,                0.60849,                0.67991,                0.43346,                 1.3836,                 1.3448,                 1.6239,             0.00087388,             0.00087388,             0.00087388
                     94,                0.77419,                0.53326,                 1.1227,                 0.7171,                0.62773,                0.69453,                0.43079,                 1.3782,                 1.1544,                 1.6248,              0.0008615,              0.0008615,              0.0008615
                     95,                0.77909,                0.51694,                 1.1161,                0.77548,                0.59434,                0.66695,                0.42156,                 1.4104,                 1.3562,                 1.6568,             0.00084912,             0.00084912,             0.00084912
                     96,                0.75865,                0.52015,                 1.1043,                0.72333,                0.59434,                0.67603,                0.42997,                 1.3677,                 1.3401,                 1.6513,             0.00083675,             0.00083675,             0.00083675
                     97,                0.74705,                0.50353,                 1.1009,                0.81917,                0.60377,                0.71835,                0.45263,                 1.3486,                 1.1449,                 1.6139,             0.00082438,             0.00082438,             0.00082438
                     98,                0.72509,                0.50418,                 1.0881,                 0.7082,                0.66274,                  0.705,                0.44098,                 1.3841,                 1.2505,                 1.6597,               0.000812,               0.000812,               0.000812
                     99,                0.75181,                0.51618,                 1.1078,                0.77044,                0.58962,                0.68469,                0.42933,                 1.3983,                 1.3618,                 1.6336,             0.00079963,             0.00079963,             0.00079963
                    100,                0.71145,                0.47614,                 1.0799,                0.76146,                0.55189,                 0.6579,                0.41453,                 1.4425,                 1.4586,                  1.681,             0.00078725,             0.00078725,             0.00078725
                    101,                0.73127,                0.48811,                 1.0926,                0.75822,                0.59198,                0.67287,                0.42751,                 1.4061,                 1.3262,                 1.6747,             0.00077487,             0.00077487,             0.00077487
                    102,                0.72954,                0.49688,                 1.0899,                0.68839,                0.63915,                0.67373,                0.42133,                  1.418,                 1.2811,                 1.6737,              0.0007625,              0.0007625,              0.0007625
                    103,                0.69556,                0.46987,                 1.0693,                0.72367,                 0.5967,                0.68568,                0.42368,                 1.4344,                 1.3471,                 1.6865,             0.00075013,             0.00075013,             0.00075013
                    104,                0.71779,                0.49139,                 1.0847,                0.71919,                0.60613,                0.66981,                0.42754,                  1.403,                 1.4427,                 1.6518,             0.00073775,             0.00073775,             0.00073775
                    105,                0.70588,                0.47303,                 1.0712,                0.69826,                0.62736,                0.69076,                0.43487,                 1.3835,                 1.3522,                 1.6361,             0.00072537,             0.00072537,             0.00072537
                    106,                0.70207,                0.47452,                 1.0768,                0.71753,                 0.5967,                0.67886,                0.42973,                 1.3896,                 1.4219,                 1.6214,               0.000713,               0.000713,               0.000713
                    107,                0.70387,                0.48306,                 1.0811,                0.76133,                0.63208,                0.70985,                0.45025,                 1.3923,                 1.2974,                 1.6528,             0.00070063,             0.00070063,             0.00070063
