                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.80979,                0.45699,                   1.04,                0.91911,                0.86338,                0.91323,                0.65206,                0.95674,                0.45794,                 1.1272,             0.00039905,             0.00039905,             0.00039905
                     54,                0.79966,                0.44464,                 1.0384,                0.91622,                 0.8721,                0.90932,                0.65226,                0.95397,                0.46136,                 1.1303,             0.00038905,             0.00038905,             0.00038905
                     55,                0.80551,                0.45124,                  1.041,                0.93152,                0.86409,                0.91805,                0.65769,                0.94621,                0.45082,                 1.1186,             0.00037905,             0.00037905,             0.00037905
                     56,                0.79693,                0.43656,                 1.0347,                0.93062,                0.86158,                0.92604,                0.65352,                 0.9467,                0.45515,                 1.1137,             0.00036905,             0.00036905,             0.00036905
                     57,                0.79331,                0.44565,                 1.0323,                0.88898,                0.85525,                0.90546,                 0.6448,                0.94654,                0.44837,                 1.1206,             0.00035905,             0.00035905,             0.00035905
                     58,                0.78151,                0.43522,                 1.0216,                0.92606,                0.86407,                0.91222,                0.66026,                0.93356,                0.44582,                 1.1135,             0.00034906,             0.00034906,             0.00034906
                     59,                0.77587,                0.42671,                 1.0238,                0.94427,                0.85136,                0.91108,                0.65617,                0.93864,                0.45239,                 1.1118,             0.00033906,             0.00033906,             0.00033906
                     60,                0.76236,                0.41767,                  1.021,                0.89489,                 0.8841,                0.91387,                0.66093,                0.93288,                0.45549,                 1.1174,             0.00032906,             0.00032906,             0.00032906
                     61,                0.75768,                0.41579,                 1.0174,                 0.9276,                0.86271,                0.91812,                0.66196,                0.93365,                0.44608,                 1.1113,             0.00031906,             0.00031906,             0.00031906
                     62,                0.76154,                0.41397,                 1.0217,                 0.9225,                0.86299,                0.91247,                0.65657,                0.93981,                0.45671,                 1.1187,             0.00030906,             0.00030906,             0.00030906
                     63,                0.75591,                0.40709,                 1.0144,                0.90985,                0.86936,                0.90697,                0.65342,                0.93094,                0.44762,                 1.1144,             0.00029906,             0.00029906,             0.00029906
                     64,                0.75439,                0.41515,                  1.018,                0.93692,                0.87629,                0.91902,                 0.6715,                0.93051,                0.44536,                 1.1198,             0.00028906,             0.00028906,             0.00028906
                     65,                0.75021,                0.40823,                 1.0163,                0.94553,                0.85981,                0.91665,                0.66807,                0.92982,                0.44524,                 1.1161,             0.00027906,             0.00027906,             0.00027906
                     66,                 0.7362,                0.40609,                 1.0064,                0.91405,                0.87668,                0.91244,                0.65899,                0.93604,                0.44483,                 1.1181,             0.00026906,             0.00026906,             0.00026906
                     67,                0.72625,                0.39626,                 1.0001,                0.89469,                0.89198,                0.91441,                 0.6648,                0.93437,                0.44034,                 1.1225,             0.00025907,             0.00025907,             0.00025907
                     68,                 0.7293,                0.39286,                0.99523,                0.92735,                0.88993,                0.92556,                0.67318,                0.93503,                0.43749,                 1.1204,             0.00024907,             0.00024907,             0.00024907
                     69,                0.73096,                 0.4002,                 1.0052,                0.93352,                0.87585,                0.92432,                0.67218,                0.93098,                0.43561,                 1.1173,             0.00023907,             0.00023907,             0.00023907
                     70,                0.72546,                0.39342,                 1.0043,                0.93982,                0.87084,                0.92269,                0.67084,                0.93124,                0.43894,                 1.1166,             0.00022907,             0.00022907,             0.00022907
                     71,                0.71136,                0.38297,                0.99105,                0.91919,                0.88025,                 0.9164,                0.66867,                0.93631,                0.43808,                 1.1258,             0.00021907,             0.00021907,             0.00021907
                     72,                0.70823,                0.38155,                0.98838,                0.92958,                0.87555,                0.92172,                0.67088,                0.92327,                0.43788,                  1.113,             0.00020907,             0.00020907,             0.00020907
                     73,                0.70008,                0.37882,                0.98354,                0.92714,                 0.8668,                0.91846,                0.66611,                0.92297,                0.43434,                 1.1107,             0.00019907,             0.00019907,             0.00019907
                     74,                0.70389,                0.37998,                0.98701,                0.92457,                0.87407,                0.91274,                0.66837,                0.92289,                0.43855,                 1.1097,             0.00018907,             0.00018907,             0.00018907
                     75,                0.69851,                0.37543,                0.98151,                0.93443,                0.86957,                0.91929,                0.67577,                0.91826,                0.42947,                 1.1143,             0.00017907,             0.00017907,             0.00017907
                     76,                0.68882,                0.37077,                0.98564,                0.94324,                0.86442,                 0.9202,                0.67482,                0.91654,                0.42966,                 1.1159,             0.00016907,             0.00016907,             0.00016907
                     77,                0.68263,                0.36555,                0.97393,                0.94477,                0.86209,                0.91407,                0.67591,                0.91786,                0.42775,                 1.1157,             0.00015907,             0.00015907,             0.00015907
                     78,                0.68198,                0.36588,                0.98172,                0.93848,                0.87211,                0.91588,                0.67376,                0.92074,                 0.4361,                 1.1194,             0.00014908,             0.00014908,             0.00014908
                     79,                0.68891,                0.36572,                0.98453,                0.94297,                0.87335,                0.91396,                0.67548,                0.91618,                0.43752,                 1.1162,             0.00013908,             0.00013908,             0.00013908
                     80,                0.66854,                0.35778,                0.97569,                0.93385,                0.88188,                0.91924,                0.67715,                0.91436,                 0.4295,                 1.1146,             0.00012908,             0.00012908,             0.00012908
                     81,                0.65142,                0.31887,                0.95712,                0.94206,                0.87614,                0.91484,                0.67021,                0.91962,                0.42897,                 1.1183,             0.00011908,             0.00011908,             0.00011908
                     82,                0.63391,                 0.3085,                0.94334,                0.93834,                0.87692,                 0.9197,                0.67794,                0.91556,                0.43324,                 1.1205,             0.00010908,             0.00010908,             0.00010908
                     83,                0.63096,                0.30569,                 0.9494,                0.93353,                0.86929,                0.91658,                 0.6769,                0.91503,                0.43401,                 1.1203,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     84,                0.62626,                0.30371,                0.94455,                0.92859,                0.88172,                0.91847,                0.67499,                0.91417,                0.43882,                 1.1169,             8.9082e-05,             8.9082e-05,             8.9082e-05
                     85,                0.61378,                0.29925,                0.93586,                0.94307,                0.85846,                0.91523,                0.67608,                0.91021,                0.43852,                 1.1179,             7.9083e-05,             7.9083e-05,             7.9083e-05
                     86,                0.61295,                0.29735,                0.94176,                0.93716,                0.86009,                0.91848,                0.67684,                0.91034,                0.43168,                 1.1189,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     87,                0.60838,                0.29318,                0.93485,                0.94335,                 0.8604,                0.91553,                0.67701,                0.90889,                0.43458,                 1.1156,             5.9085e-05,             5.9085e-05,             5.9085e-05
                     88,                0.59908,                0.28796,                0.93025,                 0.9428,                0.85512,                0.91611,                0.68042,                0.90716,                0.43656,                 1.1146,             4.9086e-05,             4.9086e-05,             4.9086e-05
                     89,                 0.5982,                0.29024,                0.92918,                0.93076,                0.86033,                0.91418,                0.67909,                0.90405,                0.43457,                 1.1142,             3.9087e-05,             3.9087e-05,             3.9087e-05
                     90,                0.58678,                0.28336,                0.92328,                0.92668,                0.86217,                0.91207,                0.67854,                0.90329,                0.43494,                 1.1144,             2.9088e-05,             2.9088e-05,             2.9088e-05
